miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT001865	dme-miR-7-5p	Drosophila melanogaster	fng	40314	Drosophila melanogaster	Luciferase reporter assay//Reporter assay;Other	Functional MTI	15738385
MIRT002882	dme-miR-1-3p	Drosophila melanogaster	CG7158	40410	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT001886	dme-miR-287-3p	Drosophila melanogaster	CRMP	40675	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT002991	dme-miR-8-3p	Drosophila melanogaster	CG8420	41097	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17923093
MIRT002890	dme-miR-1-3p	Drosophila melanogaster	CG18542	41176	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT053220	dme-miR-276a-3p	Drosophila melanogaster	DopR	41726	Drosophila melanogaster	qRT-PCR	Functional MTI (Weak)	23536094
MIRT002439	dme-miR-iab-4-5p	Drosophila melanogaster	Ubx	42034	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Reporter assay	Functional MTI	16357215
MIRT002439	dme-miR-iab-4-5p	Drosophila melanogaster	Ubx	42034	Drosophila melanogaster	GFP reporter assay	Functional MTI	18172163
MIRT002440	dme-miR-iab-8-5p	Drosophila melanogaster	Ubx	42034	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	18172160
MIRT002440	dme-miR-iab-8-5p	Drosophila melanogaster	Ubx	42034	Drosophila melanogaster	GFP reporter assay	Functional MTI	18172163
MIRT006629	dme-miR-iab-4-5p	Drosophila melanogaster	abd-A	42037	Drosophila melanogaster	GFP reporter assay	Non-Functional MTI	18172163
MIRT002441	dme-miR-iab-8-5p	Drosophila melanogaster	abd-A	42037	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	18172160
MIRT002441	dme-miR-iab-8-5p	Drosophila melanogaster	abd-A	42037	Drosophila melanogaster	GFP reporter assay	Functional MTI	18172163
MIRT004583	dme-miR-1-3p	Drosophila melanogaster	Dl	42313	Drosophila melanogaster	GFP reporter assay//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR	Functional MTI	16357195
MIRT007385	dme-miR-7-5p	Drosophila melanogaster	e	42521	Drosophila melanogaster	Reporter assay	Functional MTI	14691535
MIRT007385	dme-miR-7-5p	Drosophila melanogaster	e	42521	Drosophila melanogaster	Reporter assay	Functional MTI	15833912
MIRT001873	dme-miR-4-3p	Drosophila melanogaster	bap	42537	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT001863	dme-miR-79-3p	Drosophila melanogaster	bap	42537	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT002889	dme-miR-1-3p	Drosophila melanogaster	CG31121	42975	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT001888	dme-miR-286-3p	Drosophila melanogaster	boss	43146	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
MIRT003867	dme-miR-2a-3p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003867	dme-miR-2a-3p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001871	dme-miR-4-3p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT001871	dme-miR-4-3p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001867	dme-miR-7-5p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	GFP reporter assay//Reporter assay;Other	Functional MTI	15833912
MIRT001867	dme-miR-7-5p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001900	dme-miR-11-3p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT001900	dme-miR-11-3p	Drosophila melanogaster	E(spl)mdelta-HLH	43150	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003865	dme-miR-4-3p	Drosophila melanogaster	E(spl)mgamma-HLH	43151	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003865	dme-miR-4-3p	Drosophila melanogaster	E(spl)mgamma-HLH	43151	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003862	dme-miR-7-5p	Drosophila melanogaster	E(spl)mgamma-HLH	43151	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003862	dme-miR-7-5p	Drosophila melanogaster	E(spl)mgamma-HLH	43151	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003857	dme-miR-79-3p	Drosophila melanogaster	E(spl)mgamma-HLH	43151	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003857	dme-miR-79-3p	Drosophila melanogaster	E(spl)mgamma-HLH	43151	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003868	dme-miR-2a-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003868	dme-miR-2a-3p	Drosophila melanogaster	E(spl)malpha-BFM	43153	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
